target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,16,4,PAV,1,0,N,5,6,54PAVN6shoot,0.2622,0.0181,NA,NA,51.4,2800,53.47020321,-3.462972132,NA,NA,NA,36,35.77794012,128523.4075,128523.4075,0,0,11.76386633,2500.4554,7.824228154,128523
PAV,16,4,PAV,1,1,N+P,2,3,24PAVN+P3shoot,0.3888,0.1044,1875.257,3,53.6,2800,50.34818138,-3.357441966,NA,NA,NA,14,37.50665665,6680.273628,6680.273628,0,0,8.806914228,124.6319707,4.82536516,6680
PAV,16,4,PAV,1,1,N+P,4,5,44PAVN+P5shoot,0.2908,0.0119,1522.903,3,50.9,2800,51.38179052,-3.467281215,2800,49.96806577,-3.525420062,31,38.75143051,4392.657279,4392.657279,0,0,8.387689626,86.29975008,4.457826702,4393
PAV,16,4,PAV,1,1,N+P,5,6,54PAVN+P6shoot,0.3586,0.0188,NA,NA,49.8,2800,53.47020321,-3.462972132,NA,NA,NA,36,36.07335536,105602.7877,105602.7877,0,0,11.56744005,2120.537905,7.659425064,105603
PAV,19,5,coinfection,0,0,low,2,3,25coinfectionlow3shoot,0.0877,0.0116,644.579,2,41.3,2800,49.79686006,-3.144371796,2800,52.89612035,-3.471252031,19,36.80377197,13557.29209,13557.29209,0,1,9.514679843,328.2637309,5.793817343,13557
PAV,19,5,coinfection,0,1,P,1,1,15coinfectionP1shoot,0.1601,0.0129,859.282,2,17.2,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,38.30895615,3533.478606,3533.478606,0,1,8.170038106,205.4348027,5.325128722,3533
PAV,19,5,coinfection,0,1,P,4,5,45coinfectionP5shoot,0.2218,0.1037,1285.263,2,50.9,2800,49.79686006,-3.144371796,2800,52.89612035,-3.471252031,19,38.68211746,3426.142822,3426.142822,0,1,8.139190366,67.31125387,4.209327442,3426
PAV,19,5,coinfection,1,0,N,1,1,15coinfectionN1shoot,0.3568,0.0292,1794.872,3,51,2800,51.34012947,-3.516751162,2800,53.49430969,-3.772950434,44,38.38077355,4842.129129,4842.129129,0,1,8.485109806,94.94370841,4.553284173,4842
PAV,19,5,coinfection,1,0,N,1,2,15coinfectionN2shoot,0.3287,0.0252,1626.58,3,52,2800,52.21184848,-3.59235151,2800,49.45773255,-3.407512855,24,37.75136439,10601.15836,10601.15836,0,1,9.268718553,203.86843,5.317474835,10601
PAV,19,5,coinfection,1,0,N,5,6,55coinfectionN6shoot,0.3861,0.0163,NA,NA,48.8,2800,55.29559506,-3.453557935,2800,51.96716877,-3.369245403,39,42.67062378,4525.243523,4525.243523,0,1,8.417426672,92.73040005,4.529696359,4525
PAV,19,5,coinfection,1,1,N+P,2,3,25coinfectionN+P3shoot,0.2225,0.0204,1378.179,2,46.4,2800,52.87949485,-3.458342489,28000,54.97219011,-3.370307922,20,37.97265752,20436.16412,20436.16412,0,1,9.925061361,440.4345715,6.087761902,20436
PAV,19,5,coinfection,1,1,N+P,4,5,45coinfectionN+P5shoot,0.19,0.0348,1048.17,3,52.7,2800,52.99905972,-3.393343343,2800,51.22810233,-3.304807543,27,40.4583257,4962.342617,4962.342617,0,1,8.50963321,94.162099,4.545017755,4962
PAV,19,5,PAV,0,0,low,1,2,15PAVlow2shoot,0.2094,0.0137,1332.433,3,44.1,2800,51.38179052,-3.467281215,2800,49.96806577,-3.525420062,31,38.1175855,6691.674693,6691.674693,0,0,8.80861945,151.7386552,5.022159667,6692
PAV,19,5,PAV,0,0,low,2,3,25PAVlow3shoot,0.1407,0.0116,876.405,2,49,2800,50.22608975,-3.560085042,NA,NA,NA,17,35.15453466,17119.13277,17119.13277,0,0,9.747951992,349.3700565,5.856131694,17119
PAV,19,5,PAV,0,0,low,3,4,35PAVlow4shoot,0.2697,0.035,1674.236,3,46.6,2800,49.67861051,-3.385405223,NA,NA,NA,16,37.67242813,3519.277819,3519.277819,0,0,8.166011083,75.52098324,4.324410541,3519
PAV,19,5,PAV,0,0,low,5,6,55PAVlow6shoot,0.2986,0.0227,NA,NA,46.7,2800,53.47020321,-3.462972132,NA,NA,NA,36,37.6699295,36528.6651,36528.6651,0,0,10.50585258,782.1983962,6.662108412,36529
PAV,19,5,PAV,0,0,low,5,7,55PAVlow7shoot,0.3644,0.0182,NA,NA,49.8,2800,53.47020321,-3.462972132,NA,NA,NA,36,37.44389216,42452.81026,42452.81026,0,0,10.65614839,852.4660694,6.748133407,42453
PAV,19,5,PAV,0,1,P,2,3,25PAVP3shoot,0.1431,0.0197,966.031,2,45.9,2800,50.34818138,-3.357441966,NA,NA,NA,14,38.27157211,3953.369343,3953.369343,0,0,8.282323492,86.13005103,4.455858375,3953
PAV,19,5,PAV,0,1,P,3,4,35PAVP4shoot,0.2651,0.025,1343.182,3,46.9,2800,48.97662263,-3.35880909,NA,NA,NA,13,36.88866043,3970.849045,3970.849045,0,0,8.286735216,84.66629094,4.438717541,3971
PAV,19,5,PAV,0,1,P,4,5,45PAVP5shoot,0.1358,0.0348,851.965,2,47.8,2800,49.60374996,-3.348891958,NA,NA,NA,15,36.67991384,7229.994581,7229.994581,0,0,8.885993566,151.2551168,5.018967926,7230
