dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,0,NA,NA,NA,shoot,4.4.coinfection.low.5.P,0,0,0,1,1,1,0,0.6495365637955276,0.2598332927752274
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,low,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.low,0,1,0,0,1,1,1,-0.1567573076072811,-0.1507626263218303
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.N,0,1,1,0,1,1,1,-0.1567573076072811,-0.1507626263218303
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.1567573076072811,-0.1507626263218303
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,P,2/24/16,2/26/16,2/26/16,2/26/16,0,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.P,0,1,0,1,1,0,0,-0.1567573076072811,-0.1507626263218303
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N,1,0,1,0,1,1,1,-0.3247328781213747,-0.21618736009556003
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.3247328781213747,-0.21618736009556003
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.4.coinfection.N.5.P,1,0,0,1,1,1,0,-0.3247328781213747,-0.21618736009556003
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N,12/15/15,1/6/16,1/7/16,1/7/16,1,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.01958208659898354,-0.23751455644353017
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N+P,12/15/15,1/6/16,1/7/16,1/7/16,0,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N+P,1,1,1,1,1,0,0,-0.01958208659898354,-0.23751455644353017
