target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero
PAV,8,2,coinfection,1,1,N+P,2,3,22coinfectionN+P3shoot,0.1972,0.0253,1026.76,2,49.5,2800,54.44303316,-3.083148658,28000,54.85190498,-3.428139814,4,NaN,NaN,0,1
PAV,8,2,coinfection,1,1,N+P,3,4,32coinfectionN+P4shoot,0.288,0.0229,1360.655,2,51.5,2800,49.79686006,-3.144371796,2800,52.89612035,-3.471252031,19,42.21619415,257.5539292,0,1
PAV,8,2,coinfection,1,1,N+P,4,5,42coinfectionN+P5shoot,0.3639,0.023,1657.85,2,48.6,2800,50.37211046,-3.366426214,2800,49.47677724,-3.068125512,30,43.07176971,147.425608,0,1
PAV,8,2,coinfection,1,1,N+P,5,6,52coinfectionN+P6shoot,0.3703,0.0183,NA,NA,47.6,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,NaN,NaN,0,1
PAV,8,2,healthy,0,1,P,3,4,32healthyP4shoot,0.728,0.0143,199.031,1,44.2,28000,52.66682698,-3.371971511,2800,49.88475912,-3.252348638,3,NaN,NaN,0,1
PAV,8,2,PAV,0,0,low,1,1,12PAVlow1shoot,0.1433,0.0175,780.449,2,47.4,2800,49.67861051,-3.385405223,NA,NA,NA,16,40.21251297,625.3872641,0,1
PAV,8,2,PAV,0,0,low,1,2,12PAVlow2shoot,0.1013,0.0163,570.053,2,49.2,2800,49.60374996,-3.348891958,NA,NA,NA,15,NaN,NaN,0,1
PAV,8,2,PAV,0,0,low,3,4,32PAVlow4shoot,0.1617,0.0151,722.582,2,47.8,2800,49.67861051,-3.385405223,NA,NA,NA,16,40.8719902,399.3456391,0,1
PAV,8,2,PAV,0,0,low,4,5,42PAVlow5shoot,0.1886,0.0178,954.602,2,52.4,2800,50.22608975,-3.560085042,NA,NA,NA,17,46.60229492,10.42066849,0,1
PAV,8,2,PAV,0,0,low,5,6,52PAVlow6shoot,0.2274,0.0212,NA,NA,52.1,2800,53.47020321,-3.462972132,NA,NA,NA,36,40.40204239,5938.592237,5938.592237,0
PAV,8,2,PAV,0,1,P,1,1,12PAVP1shoot,0.1688,0.0177,987.201,2,49.2,2800,51.38179052,-3.467281215,2800,49.96806577,-3.525420062,31,38.13966942,6594.25275,6594.25275,0
PAV,8,2,PAV,0,1,P,1,2,12PAVP2shoot,0.0673,0.0124,407.183,1,26.6,2800,48.97662263,-3.35880909,NA,NA,NA,13,38.93480428,976.5535758,0,1
PAV,8,2,PAV,0,1,P,2,3,22PAVP3shoot,0.1243,0.0198,610.418,2,46.8,2800,49.67861051,-3.385405223,NA,NA,NA,16,41.49807358,260.8632632,0,1
PAV,8,2,PAV,0,1,P,3,4,32PAVP4shoot,0.1446,0.0106,706.147,2,46.4,2800,50.34818138,-3.357441966,NA,NA,NA,14,41.25732994,510.1195305,0,1
PAV,8,2,PAV,0,1,P,4,5,42PAVP5shoot,0.2177,0.0185,1100.71,2,47.7,2800,49.60374996,-3.348891958,NA,NA,NA,15,48.35261154,2.363729229,0,1
PAV,8,2,PAV,0,1,P,5,6,52PAVP6shoot,0.1621,0.0148,NA,NA,47.3,2800,53.47020321,-3.462972132,NA,NA,NA,36,40.93680763,4161.594187,4161.594187,0
PAV,8,2,PAV,1,0,N,1,1,12PAVN1shoot,0.2734,0.0232,1649.779,2,49.1,2800,50.34818138,-3.357441966,NA,NA,NA,14,45.63761902,25.29421647,0,1
PAV,8,2,PAV,1,0,N,1,2,12PAVN2shoot,0.1683,0.0293,1066.163,2,50.4,2800,49.60374996,-3.348891958,NA,NA,NA,15,37.67148971,3656.345603,3656.345603,0
PAV,8,2,PAV,1,0,N,2,3,22PAVN3shoot,0.2127,0.0128,964.634,2,49.6,2800,51.38179052,-3.467281215,2800,49.96806577,-3.525420062,31,NaN,NaN,0,1
PAV,8,2,PAV,1,0,N,3,4,32PAVN4shoot,0.239,0.0195,1136.941,2,47.4,2800,49.67861051,-3.385405223,NA,NA,NA,16,36.73279063,6668.205141,6668.205141,0
PAV,8,2,PAV,1,0,N,4,5,42PAVN5shoot,0.3362,0.0198,1495.364,2,48.8,2800,48.97662263,-3.35880909,NA,NA,NA,13,39.63852883,602.8093576,0,1
PAV,8,2,PAV,1,0,N,5,6,52PAVN6shoot,0.2533,0.0167,NA,NA,49.6,2800,53.47020321,-3.462972132,NA,NA,NA,36,43.2562294,890.1884457,0,1
PAV,8,2,PAV,1,1,N+P,1,1,12PAVN+P1shoot,0.0235,8.00E-04,111.448,0,22.8,2800,50.22608975,-3.560085042,NA,NA,NA,17,40.36859512,587.344656,0,1
PAV,8,2,PAV,1,1,N+P,1,2,12PAVN+P2shoot,0.0902,0.0066,501.947,2,46.5,2800,48.97662263,-3.35880909,NA,NA,NA,13,39.52522659,651.497637,0,1
PAV,8,2,PAV,1,1,N+P,2,3,22PAVN+P3shoot,0.2538,0.0208,1299.052,2,50.3,2800,50.34818138,-3.357441966,NA,NA,NA,14,40.82919311,684.2120333,0,1
PAV,8,2,PAV,1,1,N+P,3,4,32PAVN+P4shoot,0.1662,0.0129,794.221,2,47.3,2800,50.22608975,-3.560085042,NA,NA,NA,17,37.20225525,4552.952164,4552.952164,0
PAV,8,2,PAV,1,1,N+P,4,5,42PAVN+P5shoot,0.3881,0.0241,1721.396,2,52.2,2800,49.60374996,-3.348891958,NA,NA,NA,15,40.29493713,602.1012062,0,1
PAV,8,2,PAV,1,1,N+P,5,6,52PAVN+P6shoot,0.2487,0.0201,NA,NA,50.4,2800,53.47020321,-3.462972132,NA,NA,NA,36,38.96182124,15473.02202,15473.02202,0
