dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_r,conc_r_s
22,6,coinfection,low,2,3,38,663.7946411944091,25224.196365387546,P,3/8/16,3/11/16,3/13/16,3/13/16,1,0,NA,NA,NA,shoot,2.6.coinfection.low.3.P,0,0,0,1,1,1,1,0.42109007374372753,7125.342252574002,-0.5674217103704715
22,6,coinfection,P,4,5,99.4,436.7668616255392,43414.6260455786,low,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.6.coinfection.P.5.low,0,1,0,0,1,0,0,0.042283125699085995,2502.466021194044,-0.6899279437073812
22,6,coinfection,P,4,5,99.4,436.7668616255392,43414.6260455786,N,2/8/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.6.coinfection.P.5.N,0,1,1,0,1,1,1,0.042283125699085995,2502.466021194044,-0.6899279437073812
22,6,coinfection,P,4,5,99.4,436.7668616255392,43414.6260455786,N+P,2/8/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.6.coinfection.P.5.N+P,0,1,1,1,1,1,1,0.042283125699085995,2502.466021194044,-0.6899279437073812
22,6,coinfection,P,4,5,99.4,436.7668616255392,43414.6260455786,P,2/8/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.6.coinfection.P.5.P,0,1,0,1,1,1,1,0.042283125699085995,2502.466021194044,-0.6899279437073812
22,6,coinfection,N,4,5,136.3,2006.9262310489783,273544.0452919758,low,11/17/15,11/19/15,11/24/15,11/25/15,1,0,NA,NA,NA,shoot,4.6.coinfection.N.5.low,1,0,0,0,1,1,1,2.6621707879248464,18450.950148688233,-0.267293068771613
22,6,coinfection,N,4,5,136.3,2006.9262310489783,273544.0452919758,N,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.N,1,0,1,0,1,1,1,2.6621707879248464,18450.950148688233,-0.267293068771613
22,6,coinfection,N,4,5,136.3,2006.9262310489783,273544.0452919758,N+P,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.N+P,1,0,1,1,1,1,1,2.6621707879248464,18450.950148688233,-0.267293068771613
22,6,coinfection,N,4,5,136.3,2006.9262310489783,273544.0452919758,P,11/17/15,11/19/15,11/24/15,11/25/15,1,1,NA,NA,NA,shoot,4.6.coinfection.N.5.P,1,0,0,1,1,1,1,2.6621707879248464,18450.950148688233,-0.267293068771613
22,6,coinfection,N+P,3,4,121.2,71.28824150586438,8640.134870510763,low,8/18/15,8/19/15,8/21/15,8/21/15,1,0,NA,NA,NA,shoot,3.6.coinfection.N+P.4.low,1,1,0,0,1,1,1,-0.567535817718377,6963.639141616773,-0.5717068432727463
22,6,coinfection,N+P,3,4,121.2,71.28824150586438,8640.134870510763,N,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.N,1,1,1,0,1,1,1,-0.567535817718377,6963.639141616773,-0.5717068432727463
22,6,coinfection,N+P,3,4,121.2,71.28824150586438,8640.134870510763,N+P,8/18/15,8/19/15,8/21/15,8/21/15,0.5,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.N+P,1,1,1,1,1,1,0,-0.567535817718377,6963.639141616773,-0.5717068432727463
22,6,coinfection,N+P,3,4,121.2,71.28824150586438,8640.134870510763,P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,3.6.coinfection.N+P.4.P,1,1,0,1,1,1,1,-0.567535817718377,6963.639141616773,-0.5717068432727463
26,7,coinfection,low,2,3,52.3,165.33145656382808,8646.83517828821,low,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.low,0,0,0,0,1,1,1,-0.4106201162651708,2177.571766912122,-0.6985376423739192
26,7,coinfection,low,2,3,52.3,165.33145656382808,8646.83517828821,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.N+P,0,0,1,1,1,1,1,-0.4106201162651708,2177.571766912122,-0.6985376423739192
